time_s,temperature_C,freq_MHz
0.0,54.0,2200.0
1.0,54.0,2200.0
2.0,55.0,2200.022
3.0,54.0,2200.0
4.0,55.0,2200.0
5.0,54.0,2199.977
6.0,52.0,2200.0
7.0,54.0,2076.595
8.0,54.0,2200.0
9.0,52.0,2195.022
10.0,54.0,2198.217
11.0,55.0,2139.328
12.01,55.0,2199.922
13.01,55.0,2200.0
14.01,54.0,2200.0
15.01,55.0,2204.508
16.01,55.0,2199.761
17.01,55.0,2200.754
18.01,55.0,2206.145
19.01,55.0,2200.0
20.01,55.0,2202.634
21.01,54.0,2200.185
22.01,55.0,2205.759
23.01,55.0,2200.0
24.01,55.0,2196.594
25.01,56.0,2197.146
26.01,55.0,2202.653
27.01,55.0,2198.311
28.01,55.0,2202.511
29.01,55.0,2200.0
30.01,55.0,2205.978
31.01,56.0,2200.0
32.01,55.0,2200.0
33.01,55.0,2200.0
34.01,55.0,2200.0
35.01,53.0,2200.0
36.01,56.0,2140.625
37.02,55.0,2201.906
38.02,55.0,2202.167
39.02,55.0,2198.39
40.02,55.0,2200.0
41.02,55.0,2200.0
42.02,55.0,2201.83
43.02,55.0,2144.395
44.02,55.0,2200.0
45.02,57.0,2200.0
46.02,56.0,2185.3
47.02,57.0,2202.103
48.02,57.0,2200.0
49.02,56.0,2198.97
50.02,56.0,2200.0
51.02,58.0,2200.0
52.02,56.0,2200.0
53.02,56.0,2206.027
54.02,56.0,2202.009
55.02,56.0,2200.0
56.02,56.0,2200.939
57.02,56.0,2200.31
58.02,56.0,2200.0
59.02,56.0,2202.217
60.02,55.0,2200.0
61.02,55.0,2200.0
62.03,55.0,2199.775
63.03,55.0,2200.0
64.03,56.0,2200.0
65.03,56.0,2200.0
66.03,57.0,2205.513
67.03,56.0,2205.978
68.03,56.0,2200.464
69.03,56.0,2200.54
70.03,56.0,2200.0
71.03,56.0,2202.497
72.03,56.0,2197.396
73.03,56.0,2200.0
74.03,56.0,2200.0
75.03,56.0,2146.678
76.03,58.0,2133.924
77.03,58.0,2202.669
78.03,57.0,2200.0
79.03,58.0,2199.72
80.03,56.0,2200.0
81.03,56.0,2202.906
82.03,57.0,2197.585
83.03,56.0,2196.94
84.03,56.0,2200.0
85.03,56.0,2200.0
86.03,57.0,2201.765
87.04,56.0,2197.94
88.04,58.0,2201.588
89.04,57.0,2200.945
90.04,56.0,1825.308
91.04,56.0,2200.0
92.04,57.0,2202.099
93.04,56.0,2197.788
94.04,56.0,2200.0
95.04,58.0,2199.701
96.04,56.0,2200.0
97.04,56.0,2196.513
98.04,56.0,2200.0
99.04,56.0,2197.346
100.04,56.0,2200.0
101.04,57.0,2200.0
102.04,56.0,2200.0
103.04,56.0,2200.022
104.04,57.0,2200.022
105.04,56.0,2199.977
106.04,58.0,2200.0
107.04,56.0,2200.044
108.04,56.0,2199.977
109.04,56.0,2200.0
110.04,56.0,2200.0
111.04,56.0,2200.022
112.04,58.0,2199.955
113.05,58.0,2202.872
114.05,58.0,2200.0
115.05,56.0,2203.678
116.05,57.0,2200.0
117.05,58.0,2201.122
118.05,57.0,2200.0
119.05,57.0,2152.461
120.05,58.0,2200.0
121.05,58.0,2200.0
122.05,52.0,800.0
