time_s,temperature_C,freq_MHz
0.0,51.0,2200.0
1.0,54.0,2200.0
2.0,52.0,2202.594
3.0,52.0,2202.549
4.0,52.0,2197.054
5.0,52.0,2198.001
6.0,52.0,2182.617
7.0,52.0,2200.0
8.0,52.0,2200.0
9.0,52.0,2200.0
10.0,52.0,2200.0
11.01,54.0,2198.056
12.01,54.0,2198.673
13.01,55.0,2200.602
14.01,54.0,2198.402
15.01,55.0,2200.0
16.01,55.0,2200.234
17.01,53.0,2197.539
18.01,53.0,2202.686
19.01,55.0,2138.387
20.01,54.0,2200.0
21.01,55.0,2200.0
22.01,55.0,2110.468
23.01,54.0,2196.369
24.01,55.0,2134.235
25.01,55.0,2200.0
26.01,55.0,2202.109
27.01,54.0,2195.821
28.01,54.0,2201.099
29.01,53.0,2197.784
30.01,55.0,2200.0
31.01,55.0,2205.866
32.01,54.0,2205.744
33.01,54.0,2109.333
34.01,54.0,2200.0
35.02,55.0,2201.348
36.02,54.0,2194.054
37.02,54.0,2200.0
38.02,55.0,2197.035
39.02,54.0,2126.348
40.02,55.0,2198.987
41.02,55.0,2200.0
42.02,55.0,2200.0
43.02,55.0,2200.0
44.02,55.0,2200.0
45.02,55.0,2200.0
46.02,55.0,2200.0
47.02,55.0,2200.0
48.02,54.0,2200.0
49.02,54.0,2200.0
50.02,55.0,2200.0
51.02,55.0,2199.977
52.02,55.0,2200.0
53.02,55.0,2200.0
54.02,55.0,2194.66
55.02,54.0,2203.654
56.02,55.0,2200.0
57.02,55.0,2196.944
58.02,55.0,2194.73
59.03,55.0,2202.14
60.03,56.0,2200.0
61.03,57.0,2200.0
62.03,56.0,2200.0
63.03,56.0,2200.0
64.03,55.0,2200.0
65.03,55.0,2200.0
66.03,55.0,2196.875
67.03,55.0,2202.686
68.03,55.0,2200.0
69.03,55.0,2200.0
70.03,56.0,2200.0
71.03,55.0,2194.774
72.03,56.0,2200.0
73.03,56.0,1842.042
74.03,56.0,2156.722
75.03,56.0,2200.0
76.03,56.0,2128.987
77.03,58.0,2200.0
78.03,55.0,2137.404
79.03,56.0,2198.13
80.03,56.0,2171.139
81.03,56.0,2198.363
82.04,55.0,2202.872
83.04,56.0,2200.0
84.04,55.0,2197.313
85.04,56.0,2200.0
86.04,56.0,2200.0
87.04,57.0,2200.0
88.04,56.0,2200.0
89.04,56.0,2205.835
90.04,55.0,2200.0
91.04,56.0,2200.0
92.04,56.0,2200.0
93.04,55.0,2199.745
94.04,55.0,2200.0
95.04,54.0,2200.0
96.04,55.0,2200.0
97.04,56.0,2205.962
98.04,56.0,2205.314
99.04,56.0,2200.04
100.04,56.0,2198.068
101.04,56.0,2203.615
102.04,56.0,2205.729
103.04,56.0,2202.561
104.04,55.0,2197.236
105.05,55.0,2200.0
106.05,55.0,2200.0
107.05,55.0,2199.421
108.05,56.0,2200.0
109.05,56.0,2200.862
110.05,57.0,2200.0
111.05,56.0,2080.922
112.05,56.0,2202.597
113.05,57.0,2200.0
114.05,57.0,2200.0
115.05,56.0,2193.732
116.05,55.0,2200.0
117.05,56.0,2202.788
118.05,56.0,2196.485
119.05,57.0,2200.0
120.05,57.0,2197.236
121.05,57.0,2202.342
122.05,51.0,800.0
